name,channel,section,frame,EndNodes_1,EndNodes_2,node_Idx_1,node_Idx_2,Name,Type,Weight,Original,Original_cv,Intensity,Intensity_cv,Gradient,Gradient_cv,Width_initial,Width_initial_cv,Width_intact,Length,Number,Midpoint,Tortuosity,Distance,Width,Width_cv,Area,Volume,Resistance_2,Resistance_4,Resistance_2ave,Resistance_4ave,Or_ij,Or_ji,Region,Route_factor,Accessibility,Accessibility_ratio,Betweenness,cord_Rank,cord_Disconnected,cord_meanDisconnect,spatial_Disconnected,spatial_meanDisconnect,Ai,Aj
DF56(6)_t09,1,1,1,40,59,5630864,6582209,1841,E,7.434127808,0.976276934,0.063161552,1,0,186.3209839,0.107341066,5.578750134,0.008339625,1,90.76955414,81,6100523,1.087235928,4465.337402,5.578750134,0.008339625,24.44351768,2218.727295,7.434127808,0.239167556,29.70752525,3.818147421,28.30075577,-171.4692344,2749.84221,1.104957223,0.001624124,7.252262592,15828,8,2,3,1,2,0,0
DF56(6)_t09,1,1,1,41,74,5640553,7013551,21,E,40.53966522,0.657059729,0.197351545,0.842383742,0.189620048,121.7598267,0.20724383,4.530611038,0.192326963,1,269.4213867,229,6616051,1.127532959,4269.392578,4.516415119,0.19225353,16.0205574,4316.280762,40.53966522,4.250784397,134.5378265,26.38254738,49.84400038,-106.5570714,6849.285519,1.293020248,0.001967395,8.399580956,5278,6,1,2,7,8,0,0
DF56(6)_t09,1,1,1,42,44,5652902,5773358,1842,E,111.6341782,0.437977344,0.597646177,0.373993814,0.811096311,54.71052551,0.769308805,2.028555155,0.779348433,1,40.72792053,38,5677004,1.09005785,4299.461914,1.692111015,0.768840253,2.24878335,91.58827209,111.6341782,254.3186951,144.8887329,202.412323,86.63353934,-118.0724869,274.3460465,1.291119337,0.001879965,8.082838058,0,18,1,2,7,8,0,0
DF56(6)_t09,1,1,1,42,77,5652902,7230316,1843,E,55.22543716,0.75686276,0.226577803,0.82637006,0.254981518,122.1858978,0.280993402,4.420733929,0.260224462,1,185.651825,156,6447639,1.17640245,4247.45459,4.397611141,0.26140821,15.18880177,2819.828857,55.22543716,49.58893585,97.78352356,20.2251606,-27.93714283,142.0012676,4139.700048,1.289432526,0.001946037,8.265702248,26370,3,1,2,7,8,0,0
DF56(6)_t09,1,1,1,43,46,5712454,5953323,1844,E,4.258044243,0.796732008,0.200444773,0.880653501,0.102267042,128.1666718,0.144829065,4.69695425,0.125094771,1,37.28427124,30,5808804,1.058375478,4431.609375,4.596615314,0.115223408,16.59457779,618.7167358,4.258044243,0.220935002,17.97419548,3.402773857,60.2551187,-129.8055711,703.6650105,1.223497987,0.002021033,8.956430435,21096,15,1,2,1,2,0,0
DF56(6)_t09,1,1,1,43,55,5712454,6422907,1845,E,21.23795128,0.7182163,0.285066485,0.730234027,0.363165021,113.8225784,0.423620552,3.953561068,0.385450631,1,70.52690887,62,6061654,1.100640178,4420.563477,3.901424885,0.390013188,11.95463657,843.1235352,21.23795128,4.774824619,47.19635391,12.4028635,-32.19573393,166.8659777,1390.961707,1.226785779,0.002007298,8.873387337,4,20,1,2,1,2,0,0
DF56(6)_t09,1,1,1,44,49,5773358,6182790,1846,E,5.569252491,0.717871308,0.243124828,0.809635818,0.225834429,116.5999985,0.234394848,4.21254921,0.196598753,1,37.31370926,35,5978073,1.089945078,4274.830566,4.194338322,0.204936624,13.81709671,515.5671387,5.569252491,0.426846027,21.60437012,4.912184715,3.366460663,-171.8698976,613.8203886,1.289422989,0.001924604,8.227355957,10554,2,1,2,7,8,0,0
DF56(6)_t09,1,1,1,45,63,5932165,6738874,22,E,16.94555855,0.7840361,0.184908181,0.889085591,0.113957942,131.2389374,0.163643733,4.655856609,0.122799441,1,138.5096741,113,6401753,1.11203444,4508.703613,4.655856609,0.122799441,17.02507591,2358.137695,16.94555855,0.865645111,65.08502197,12.00996685,-52.04576912,116.9802307,3379.263378,1.11071372,0.001541666,6.950913906,5278,13,2,3,10,11,0,0
DF56(6)_t09,1,1,1,46,60,5953323,6591555,1847,E,4.640027046,1,0,1,0,201.6296234,0.045325492,5.599999428,8.5949E-08,1,57.14213181,54,6266423,1.071310282,4389.798828,5.599999428,8.5949E-08,24.63008118,1407.415405,4.640027046,0.147960067,18.560112,2.367361546,17.10272897,175.7636052,1807.965628,1.223891854,0.002039371,8.95242691,52686,12,1,2,1,2,0,0
DF56(6)_t09,1,1,1,47,78,5978226,7242564,23,E,30.46634674,0.700739264,0.287041128,0.768852472,0.256469399,115.5409851,0.310188115,4.13879776,0.276744574,1,146.6812439,122,6508035,1.152116776,4215.741211,4.13879776,0.276744574,13.4535923,1973.389648,30.46634674,5.524698257,87.22205353,20.36750603,-41.55261315,151.5873386,3373.614671,1.291537642,0.001760988,7.42386961,5278,1,1,2,5,6,0,0
DF56(6)_t09,1,1,1,48,65,5979856,6883022,24,E,84.32987976,0.712598562,0.425556272,0.814288974,0.407413632,147.8735657,0.466134608,4.386855125,0.414848626,1,102.9827499,87,6365199,1.342885256,4369.833984,4.386855125,0.414848626,15.11459255,1556.542358,84.32987976,160.4734039,54.50772095,11.32951736,-1.789910608,-158.4286928,2360.176305,1.139253616,0.001508357,6.591269493,5278,17,2,3,4,5,0,0
DF56(6)_t09,1,1,1,49,62,6182790,6664460,1848,E,3.72726655,0.996461093,0.019316116,0.995600164,0.020976162,168.5853729,0.077453449,5.488256454,0.028148271,1,44.14213181,41,6423622,1.070603967,4238.685059,5.488256454,0.028148271,23.65694618,1044.268066,3.72726655,0.123972058,14.92741489,1.982329369,-21.80140949,174.2894069,1069.252764,1.290836692,0.001941977,8.231430054,21100,15,1,2,7,8,0,0
DF56(6)_t09,1,1,1,50,59,6196911,6582209,25,E,20.13882256,0.639824271,0.183108255,0.637322545,0.256618887,92.13793182,0.278703451,3.233725071,0.295633644,1,65.69848633,58,6485902,1.172439814,4449.223633,3.104655981,0.257006049,7.570365429,497.3615417,20.13882256,3.335040331,69.42701721,28.81120872,-35.31121344,107.102729,947.5252883,1.104705334,0.001607539,7.152302265,5278,17,2,3,1,2,0,0
DF56(6)_t09,1,1,1,51,52,6290125,6241998,26,E,9.003902435,0.634080231,0.311168104,0.749019563,0.321760774,116.1428604,0.399335474,4.123203278,0.325540423,1,42.65686035,42,6278103,1.035494924,4504.290527,4.087182999,0.327422559,13.12012672,559.6633911,9.003902435,1.156712294,26.01002884,6.228057384,-84.28940686,92.86240523,2224.797069,1.253859043,0.001943815,8.755506516,5278,12,1,2,1,2,0,0
DF56(6)_t09,1,1,1,51,56,6241998,6458814,1849,E,5.612055302,0.90356797,0.138913184,1,0,204.0163879,0.083917975,5.599999428,8.58561E-08,1,69.11269379,61,6410616,1.10329926,4477.163086,5.599999428,8.58561E-08,24.63008118,1702.251221,5.612055302,0.178955838,22.44822311,2.863294125,64.98310652,-97.59464337,2278.274368,1.248165369,0.001971825,8.828183174,36904,19,1,2,1,2,0,0
DF56(6)_t09,1,1,1,53,62,6303282,6664460,27,E,72.16513062,0.483333349,0.284518033,0.441456616,0.376524091,64.17857361,0.373159111,2.299542665,0.392456383,1,96.66904449,84,6447746,1.107123256,4227.702148,2.188114405,0.320875049,3.760364294,363.5108337,72.16513062,42.58586121,205.6588898,171.8175201,-73.30075577,114.7751406,1037.482022,1.299943447,0.00182097,7.698516846,5278,12,1,2,7,8,0,0
